AARTIIND
AAVAS
ABBOTINDIA
ABB
ABFRL
ACC
ADANIENT
ADANITRANS
ADVENZYMES
AEGISCHEM
AJANTPHARM
ALEMBICLTD
ALKEM
ALKYLAMINE
ALOKINDS
AMBUJACEM
APLAPOLLO
APOLLOTYRE
ASHOKA
ASHOKLEY
ASIANPAINT
ASTERDM
ASTRAL
ATGL
ATUL
AVANTIFEED
AXISBANK
BAJAJ-AUTO
BAJAJFINSV
BAJAJHLDNG
BAJFINANCE
BALKRISIND
BALMLAWRIE
BALRAMCHIN
BANKBARODA
BANKINDIA
BASF
BATAINDIA
BAYERCROP
BBTC
BDL
BEL
BEML
BERGEPAINT
BHARATFORG
BHARATRAS
BHEL
BIRLACORPN
BLISSGVS
BLUEDART
BOMDYEING
BOSCHLTD
BPCL
BRIGADE
BSE
BSOFT
CADILAHC
CANBK
CAPLIPOINT
CARBORUNIV
CARERATING
CASTROLIND
CCL
CDSL
CENTRALBK
CENTURYPLY
CENTURYTEX
CERA
CESC
CGCL
CHALET
CHAMBLFERT
CHENNPETRO
CHOLAHLDNG
CIPLA
CNX 500
CNX Nifty
COALINDIA
COCHINSHIP
COFORGE
COLPAL
CONCOR
COROMANDEL
CREDITACC
CRISIL
CROMPTON
CSBBANK
CUB
CYIENT
DALBHARAT
DBCORP
DCAL
DCBBANK
DCMSHRIRAM
DEEPAKNTR
DELTACORP
DHANUKA
DISHTV
DIVISLAB
DIXON
DLF
DMART
DRREDDY
ECLERX
EDELWEISS
EICHERMOT
EIDPARRY
EIHOTEL
ENDURANCE
ENGINERSIN
EPL
EQUITAS
ERIS
EXIDEIND
FCONSUMER
FDC
FEDERALBNK
FINCABLES
FINEORG
FLUOROCHEM
FORTIS
FRETAIL
FSL
GAEL
GAIL
GALAXYSURF
GARFIBRES
GEPIL
GESHIP
GHCL
GILLETTE
GLAXO
GLENMARK
GMDCLTD
GMMPFAUDLR
GMRINFRA
GNFC
GODFRYPHLP
GODREJAGRO
GODREJCP
GODREJPROP
GPPL
GRASIM
GREAVESCOT
GRINDWELL
GRSE
GSFC
GSPL
GUJGASLTD
HAL
HATHWAY
HATSUN
HDFCBANK
HEIDELBERG
HERITGFOOD
HFCL
HINDCOPPER
HINDPETRO
HINDZINC
HSCL
HUDCO
HUHTAMAKI
IBREALEST
IBULHSGFIN
ICICIBANK
ICICIGI
ICICIPRULI
IDBI
IDEA
IDFCFIRSTB
IDFC
IEX
INDHOTEL
INDIANB
INDIGO
INDOCO
INDUSINDBK
INFY
INGERRAND
INOXLEISUR
IOB
IOC
IOLCP
IRB
IRCON
IRCTC
ISEC
ITI
J&KBANK
JAGRAN
JAICORPLTD
JAMNAAUTO
JBCHEPHARM
JINDALSAW
JKLAKSHMI
JKPAPER
JKTYRE
JMFINANCIL
JSLHISAR
JSL
JSWENERGY
JSWSTEEL
JTEKTINDIA
JUBLFOOD
JYOTHYLAB
KAJARIACER
KALPATPOWR
KEI
KNRCON
KRBL
KSB
KSCL
LAOPALA
LAURUSLABS
LEMONTREE
LICHSGFIN
LT
LUPIN
LUXIND
MAHINDCIE
MAHLOG
MAHSCOOTER
MAHSEAMLES
MANAPPURAM
MARICO
MARUTI
MASFIN
MCDOWELL-N
METROPOLIS
MFSL
MGL
MHRIL
MIDHANI
MINDACORP
MINDAIND
MINDTREE
MMTC
MOIL
MOTHERSUMI
MOTILALOFS
MPHASIS
MRPL
MUTHOOTFIN
NAM-INDIA
NATCOPHARM
NATIONALUM
NAVINFLUOR
NAVNETEDUL
NBCC
NCC
NESCO
NETWORK18
NFL
NHPC
NH
NIACL
NILKAMAL
NLCINDIA
NMDC
NOCIL
NTPC
OBEROIRLTY
OFSS
OIL
OMAXE
ONGC
ORIENTCEM
ORIENTELEC
ORIENTREF
PEL
PERSISTENT
PFC
PFIZER
PHILIPCARB
PHOENIXLTD
PIDILITIND
PIIND
PNBHOUSING
PNB
POLYCAB
POLYPLEX
POWERGRID
POWERINDIA
PRAJIND
PTC
PVR
QUESS
RADICO
RAIN
RAJESHEXPO
RALLIS
RATNAMANI
RAYMOND
RBLBANK
RCF
RECLTD
REDINGTON
RELAXO
RELIANCE
RITES
RVNL
SAIL
SBILIFE
SBIN
SCHNEIDER
SFL
SHILPAMED
SHOPERSTOP
SHRIRAMCIT
SIEMENS
SIS
SJVN
SKFINDIA
SOLARA
SOLARINDS
SONATSOFTW
SOUTHBANK
SPARC
SPICEJET
SRF
STARCEMENT
STLTECH
SUDARSCHEM
SUMICHEM
SUNDARMFIN
SUNDRMFAST
SUNPHARMA
SUNTV
SUPPETRO
SUPRAJIT
SUPREMEIND
SUZLON
SWANENERGY
SWARAJENG
TATACOFFEE
TATACOMM
TATACONSUM
TATAELXSI
TATAINVEST
TATAMOTORS
TATAMTRDVR
TATAPOWER
TATASTEEL
TATASTLBSL
TCIEXP
TCNSBRANDS
TECHM
THERMAX
THYROCARE
TIINDIA
TITAN
TORNTPHARM
TORNTPOWER
TRENT
TRIDENT
TTKPRESTIG
TV18BRDCST
TVSMOTOR
TVTODAY
UBL
UCOBANK
UFLEX
UJJIVANSFB
UJJIVAN
UPL
VENKEYS
VGUARD
VINATIORGA
VIPIND
VOLTAS
VRLLOG
VSTIND
VTL
WABCOINDIA
WELSPUNIND
WESTLIFE
WIPRO
WOCKPHARMA
ZEEL
ZENSARTECH
